,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hour_time
0,1,2011-01-01,springer,0,1,0,0,6,0,Clear,9.84,14.395,81.0,0.0,3,13,16,Afternoon
1,2,2011-01-01,springer,0,1,1,0,6,0,Clear,9.02,13.635,80.0,0.0,8,32,40,Afternoon
2,3,2011-01-01,springer,0,1,2,0,6,0,Clear,9.02,13.635,80.0,0.0,5,27,32,Afternoon
3,4,2011-01-01,springer,0,1,3,0,6,0,Clear,9.84,14.395,75.0,0.0,3,10,13,Afternoon
4,5,2011-01-01,springer,0,1,4,0,6,0,Clear,9.84,14.395,75.0,0.0,0,1,1,Afternoon
5,6,2011-01-01,springer,0,1,5,0,6,0,Mist,9.84,12.879999999999999,75.0,6.0032,0,1,1,Morning
6,7,2011-01-01,springer,0,1,6,0,6,0,Clear,9.02,13.635,80.0,0.0,2,0,2,Morning
7,8,2011-01-01,springer,0,1,7,0,6,0,Clear,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Morning
8,9,2011-01-01,springer,0,1,8,0,6,0,Clear,9.84,14.395,75.0,0.0,1,7,8,Morning
9,10,2011-01-01,springer,0,1,9,0,6,0,Clear,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Morning
10,11,2011-01-01,springer,0,1,10,0,6,0,Clear,15.58,19.695,76.0,16.997899999999998,12,24,36,Morning
11,12,2011-01-01,springer,0,1,11,0,6,0,Clear,14.76,16.665,81.0,19.0012,26,30,56,Morning
12,13,2011-01-01,springer,0,1,12,0,6,0,Clear,17.22,21.21,77.0,19.0012,29,55,84,Morning
13,14,2011-01-01,springer,0,1,13,0,6,0,Mist,18.86,22.725,72.0,19.999499999999998,47,47,94,Afternoon
14,15,2011-01-01,springer,0,1,14,0,6,0,Mist,18.86,22.725,72.0,19.0012,35,71,106,Afternoon
15,16,2011-01-01,springer,0,1,15,0,6,0,Mist,18.04,21.97,77.0,19.999499999999998,40,70,110,Afternoon
16,17,2011-01-01,springer,0,1,16,0,6,0,Mist,17.22,21.21,82.0,19.999499999999998,41,52,93,Afternoon
17,18,2011-01-01,springer,0,1,17,0,6,0,Mist,18.04,21.97,82.0,19.0012,15,52,67,Evening
18,19,2011-01-01,springer,0,1,18,0,6,0,Light Snow,17.22,21.21,88.0,16.997899999999998,9,26,35,Evening
19,20,2011-01-01,springer,0,1,19,0,6,0,Light Snow,17.22,21.21,88.0,16.997899999999998,6,31,37,Evening
20,21,2011-01-01,springer,0,1,20,0,6,0,Mist,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Evening
21,22,2011-01-01,springer,0,1,21,0,6,0,Mist,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Evening
22,23,2011-01-01,springer,0,1,22,0,6,0,Mist,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Night
23,24,2011-01-01,springer,0,1,23,0,6,0,Mist,18.86,22.725,88.0,19.999499999999998,15,24,39,Night
24,25,2011-01-02,springer,0,1,0,0,0,0,Mist,18.86,22.725,88.0,19.999499999999998,4,13,17,Afternoon
25,26,2011-01-02,springer,0,1,1,0,0,0,Mist,18.04,21.97,94.0,16.997899999999998,1,16,17,Afternoon
26,27,2011-01-02,springer,0,1,2,0,0,0,Mist,17.22,21.21,100.0,19.0012,1,8,9,Afternoon
27,28,2011-01-02,springer,0,1,3,0,0,0,Mist,18.86,22.725,94.0,12.998000000000001,2,4,6,Afternoon
28,29,2011-01-02,springer,0,1,4,0,0,0,Mist,18.86,22.725,94.0,12.998000000000001,2,1,3,Afternoon
29,30,2011-01-02,springer,0,1,6,0,0,0,Light Snow,17.22,21.21,77.0,19.999499999999998,0,2,2,Morning
30,31,2011-01-02,springer,0,1,7,0,0,0,Mist,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Morning
31,32,2011-01-02,springer,0,1,8,0,0,0,Light Snow,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Morning
32,33,2011-01-02,springer,0,1,9,0,0,0,Mist,15.58,19.695,76.0,15.001299999999999,1,19,20,Morning
33,34,2011-01-02,springer,0,1,10,0,0,0,Mist,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Morning
34,35,2011-01-02,springer,0,1,11,0,0,0,Mist,14.76,16.665,71.0,16.997899999999998,16,54,70,Morning
35,36,2011-01-02,springer,0,1,12,0,0,0,Mist,14.76,16.665,66.0,19.999499999999998,20,73,93,Morning
36,37,2011-01-02,springer,0,1,13,0,0,0,Mist,14.76,17.424999999999997,66.0,8.9981,11,64,75,Afternoon
37,38,2011-01-02,springer,0,1,14,0,0,0,Light Snow,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Afternoon
38,39,2011-01-02,springer,0,1,15,0,0,0,Light Snow,13.940000000000001,16.665,81.0,11.0014,19,55,74,Afternoon
39,40,2011-01-02,springer,0,1,16,0,0,0,Light Snow,13.940000000000001,16.665,71.0,11.0014,9,67,76,Afternoon
40,41,2011-01-02,springer,0,1,17,0,0,0,Clear,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Evening
41,42,2011-01-02,springer,0,1,18,0,0,0,Mist,14.76,16.665,46.0,22.0028,10,43,53,Evening
42,43,2011-01-02,springer,0,1,19,0,0,0,Clear,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Evening
43,44,2011-01-02,springer,0,1,20,0,0,0,Clear,12.299999999999999,13.635,39.0,23.9994,5,17,22,Evening
44,45,2011-01-02,springer,0,1,21,0,0,0,Clear,10.66,11.365,44.0,22.0028,11,20,31,Evening
45,46,2011-01-02,springer,0,1,22,0,0,0,Clear,9.84,10.605,44.0,19.999499999999998,0,9,9,Night
46,47,2011-01-02,springer,0,1,23,0,0,0,Clear,9.02,11.365,47.0,11.0014,0,8,8,Night
47,48,2011-01-03,springer,0,1,0,0,1,1,Clear,9.02,9.85,44.0,23.9994,0,5,5,Afternoon
